t=2025-10-19T08:38:33-0700 lvl=info msg="no configuration paths supplied"
t=2025-10-19T08:38:33-0700 lvl=info msg="using configuration at default config path" path="/Users/evangelineng/Library/Application Support/ngrok/ngrok.yml"
t=2025-10-19T08:38:33-0700 lvl=info msg="open config file" path="/Users/evangelineng/Library/Application Support/ngrok/ngrok.yml" err=nil
t=2025-10-19T08:38:33-0700 lvl=info msg="starting web service" obj=web addr=127.0.0.1:4040 allow_hosts=[]
t=2025-10-19T08:38:34-0700 lvl=info msg="client session established" obj=tunnels.session
t=2025-10-19T08:38:34-0700 lvl=info msg="tunnel session started" obj=tunnels.session
t=2025-10-19T08:38:34-0700 lvl=info msg="started tunnel" obj=tunnels name=command_line addr=http://localhost:3000 url=https://lilianna-sweltering-kristopher.ngrok-free.dev
t=2025-10-19T08:38:40-0700 lvl=info msg=start pg=/api/tunnels id=2d40638fec7dcec9
t=2025-10-19T08:38:40-0700 lvl=info msg=end pg=/api/tunnels id=2d40638fec7dcec9 status=200 dur=260.625µs
t=2025-10-19T08:40:44-0700 lvl=info msg="join connections" obj=join id=bc4201922a28 l=127.0.0.1:3000 r=136.24.37.74:50089
t=2025-10-19T08:40:50-0700 lvl=info msg="join connections" obj=join id=2bed3d6d9993 l=127.0.0.1:3000 r=136.24.37.74:50158
t=2025-10-19T08:40:50-0700 lvl=info msg="join connections" obj=join id=8f1aa50746af l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:50-0700 lvl=info msg="join connections" obj=join id=f5620764a108 l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:50-0700 lvl=info msg="join connections" obj=join id=8213ec85233f l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:50-0700 lvl=info msg="join connections" obj=join id=955d2248d6a4 l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=b297ac51b138 l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=50aacbb3c6cc l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=b39d783d404f l=127.0.0.1:3000 r=136.24.37.74:50175
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=a2a7c821c54c l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=f0ec2857be2f l=127.0.0.1:3000 r=136.24.37.74:50161
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=522252e7717a l=127.0.0.1:3000 r=136.24.37.74:50186
t=2025-10-19T08:40:51-0700 lvl=info msg="join connections" obj=join id=28cf079da2a4 l=127.0.0.1:3000 r=136.24.37.74:50190
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=30cf8ff1a876 l=127.0.0.1:3000 r=136.24.37.74:50198
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=d2bf4ff22878 l=127.0.0.1:3000 r=136.24.37.74:50198
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=3844522099b3 l=127.0.0.1:3000 r=136.24.37.74:50198
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=21c6d2b04e96 l=127.0.0.1:3000 r=136.24.37.74:50198
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=d8399ef1a792 l=127.0.0.1:3000 r=136.24.37.74:50198
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=977b4934ad84 l=127.0.0.1:3000 r=136.24.37.74:50211
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=9b7c85876794 l=127.0.0.1:3000 r=136.24.37.74:50216
t=2025-10-19T08:40:53-0700 lvl=info msg="join connections" obj=join id=ca5808a51035 l=127.0.0.1:3000 r=136.24.37.74:50220
t=2025-10-19T08:41:03-0700 lvl=info msg="join connections" obj=join id=74c9ce654fe5 l=127.0.0.1:3000 r=136.24.37.74:50269
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=2aef8373cce7 l=127.0.0.1:3000 r=136.24.37.74:50313
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=f64b80affba0 l=127.0.0.1:3000 r=136.24.37.74:50313
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=cca4ca264153 l=127.0.0.1:3000 r=136.24.37.74:50313
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=1308daa88919 l=127.0.0.1:3000 r=136.24.37.74:50313
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=4a04a784e86a l=127.0.0.1:3000 r=136.24.37.74:50313
t=2025-10-19T08:41:12-0700 lvl=info msg="join connections" obj=join id=10848c0f9733 l=127.0.0.1:3000 r=136.24.37.74:50326
t=2025-10-19T08:41:13-0700 lvl=info msg="join connections" obj=join id=781b7f53eeee l=127.0.0.1:3000 r=136.24.37.74:50331
t=2025-10-19T08:41:13-0700 lvl=info msg="join connections" obj=join id=2d8becb55468 l=127.0.0.1:3000 r=136.24.37.74:50335
t=2025-10-19T08:41:21-0700 lvl=info msg="join connections" obj=join id=8467401a4077 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:41:21-0700 lvl=info msg="join connections" obj=join id=c7a82e30f1c2 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:41:41-0700 lvl=info msg="join connections" obj=join id=e43a28daf43c l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:41:44-0700 lvl=info msg="join connections" obj=join id=f3a9f08d767c l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:41:57-0700 lvl=info msg="join connections" obj=join id=71c946d1db80 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:01-0700 lvl=info msg="join connections" obj=join id=20f7496e458c l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:02-0700 lvl=info msg="join connections" obj=join id=e89c56ee3848 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:03-0700 lvl=info msg="join connections" obj=join id=eeff97ac8e16 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:04-0700 lvl=info msg="join connections" obj=join id=0ed88606869b l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:06-0700 lvl=info msg="join connections" obj=join id=d1328e26bf8c l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:07-0700 lvl=info msg="join connections" obj=join id=90cf7430b066 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:08-0700 lvl=info msg="join connections" obj=join id=30e4984d28b3 l=127.0.0.1:3000 r=136.24.37.74:50379
t=2025-10-19T08:42:10-0700 lvl=info msg="join connections" obj=join id=816a7842ae64 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:11-0700 lvl=info msg="join connections" obj=join id=1312bccd9724 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:13-0700 lvl=info msg="join connections" obj=join id=27bc211ad473 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:14-0700 lvl=info msg="join connections" obj=join id=dd1490059bfd l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:15-0700 lvl=info msg="join connections" obj=join id=4c167128d7cd l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:16-0700 lvl=info msg="join connections" obj=join id=776a016c1946 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:17-0700 lvl=info msg="join connections" obj=join id=788cd21dbacb l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:18-0700 lvl=info msg="join connections" obj=join id=042ac90d404b l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:19-0700 lvl=info msg="join connections" obj=join id=11eed727b88f l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:21-0700 lvl=info msg="join connections" obj=join id=981f2bbc4cd8 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:22-0700 lvl=info msg="join connections" obj=join id=fcead807b42d l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:23-0700 lvl=info msg="join connections" obj=join id=a42ce1e1f8cd l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:24-0700 lvl=info msg="join connections" obj=join id=99f13dcd7fce l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:26-0700 lvl=info msg="join connections" obj=join id=a012c635adea l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:27-0700 lvl=info msg="join connections" obj=join id=fb633be3fa6f l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:28-0700 lvl=info msg="join connections" obj=join id=cf036769f188 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:29-0700 lvl=info msg="join connections" obj=join id=8efe6848b9e2 l=127.0.0.1:3000 r=136.24.37.74:50639
t=2025-10-19T08:42:30-0700 lvl=info msg="join connections" obj=join id=0dea80d82c39 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:32-0700 lvl=info msg="join connections" obj=join id=793a727c326d l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:33-0700 lvl=info msg="join connections" obj=join id=81f3117ae53a l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:34-0700 lvl=info msg="join connections" obj=join id=72b89961229b l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:35-0700 lvl=info msg="join connections" obj=join id=df1cda3963c5 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:37-0700 lvl=info msg="join connections" obj=join id=a26895ded35c l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:38-0700 lvl=info msg="join connections" obj=join id=bbcc8e30472a l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:39-0700 lvl=info msg="join connections" obj=join id=d5e1cf924644 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:40-0700 lvl=info msg="join connections" obj=join id=bafc8b97618f l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:41-0700 lvl=info msg="join connections" obj=join id=b00412a23b94 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:42-0700 lvl=info msg="join connections" obj=join id=b05aa2bc49ba l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:44-0700 lvl=info msg="join connections" obj=join id=5e9beb2439ce l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:45-0700 lvl=info msg="join connections" obj=join id=ebd44b5ddb09 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:47-0700 lvl=info msg="join connections" obj=join id=2b81f2a6358f l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:49-0700 lvl=info msg="join connections" obj=join id=889e7b44dcbd l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:50-0700 lvl=info msg="join connections" obj=join id=48bb5cdd5ced l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:53-0700 lvl=info msg="join connections" obj=join id=f28816d34c09 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:54-0700 lvl=info msg="join connections" obj=join id=4f1e4b5fa12b l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:55-0700 lvl=info msg="join connections" obj=join id=8bfe4aa13f2d l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:57-0700 lvl=info msg="join connections" obj=join id=9c8b03cfe8ff l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:58-0700 lvl=info msg="join connections" obj=join id=7b5031b5003d l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:42:59-0700 lvl=info msg="join connections" obj=join id=bc88a8e893d2 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:00-0700 lvl=info msg="join connections" obj=join id=582d16abae3e l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:01-0700 lvl=info msg="join connections" obj=join id=5c84c6f87ea2 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:03-0700 lvl=info msg="join connections" obj=join id=eb7bd2830772 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:04-0700 lvl=info msg="join connections" obj=join id=6a0f41d17bcd l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:05-0700 lvl=info msg="join connections" obj=join id=75dc6a7b6b87 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:07-0700 lvl=info msg="join connections" obj=join id=e43c3043bf71 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:08-0700 lvl=info msg="join connections" obj=join id=2f08b1658ba2 l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:09-0700 lvl=info msg="join connections" obj=join id=3360c03d070d l=127.0.0.1:3000 r=136.24.37.74:50778
t=2025-10-19T08:43:10-0700 lvl=info msg="join connections" obj=join id=67483c7a990c l=127.0.0.1:3000 r=136.24.37.74:50778
